# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1558352788079
# Cmd Line:	-g RandomGame -players 2 -normalize -min_payoff 0 -max_payoff 1 -f BoS.game -actions 20 20 -f Game.txt
# Players:	2
# Actions:	20 20
# players:	2
# actions:	[20, 20]
[8  4] :	[ 0.40354759578937155 0.47546148956457185 ]
[9  4] :	[ 0.3458711746616941 0.2517990550164806 ]
[10  4] :	[ 0.38712296661158135 0.7288248175839961 ]
[11  4] :	[ 0.33760031400912655 0.880979838614551 ]
[12  4] :	[ 0.020308188988430727 0.7137894697283774 ]
[13  4] :	[ 0.1769988483442693 0.6735829231260445 ]
[14  4] :	[ 0.7607159199117364 0.5931375856263456 ]
[15  4] :	[ 0.05868928050555706 0.6471848810379489 ]
[16  4] :	[ 0.22383831257752312 0.3863856420290762 ]
[17  4] :	[ 0.37207256173932224 0.20794695043917025 ]
[18  4] :	[ 0.7439144546752969 0.616700466756548 ]
[19  4] :	[ 0.06002782755337519 0.14299956021223695 ]
[20  4] :	[ 0.9427047930404565 0.5104312818153265 ]
[1  5] :	[ 0.5717555391352673 0.44986436050135353 ]
[2  5] :	[ 0.83271600355976 0.9654015899884028 ]
[3  5] :	[ 0.3268028446123294 0.7144358777531226 ]
[4  5] :	[ 0.550659363210562 0.7540692638233961 ]
[5  5] :	[ 0.3850517225938998 0.21455865408148847 ]
[6  5] :	[ 0.911171804852451 0.40151367895913515 ]
[7  5] :	[ 0.584672138670307 0.5724695149315456 ]
[8  5] :	[ 0.40832488676152506 0.7275153917675846 ]
[9  5] :	[ 0.9999999999999999 0.5533183636766541 ]
[10  5] :	[ 0.18224868238980121 0.3151863980180497 ]
[11  5] :	[ 0.9795156942664733 0.599509650177597 ]
[12  5] :	[ 0.6967046302224337 0.0778415424737768 ]
[13  5] :	[ 0.3914353870973288 0.7457164880370152 ]
[14  5] :	[ 0.5906052209592234 0.621383254703685 ]
[15  5] :	[ 0.9490938446397043 0.8603777698642031 ]
[16  5] :	[ 0.23749478480412198 0.34894058374588816 ]
[17  5] :	[ 0.6421015653681147 0.5608933471224 ]
[18  5] :	[ 0.01731397490788026 0.12335091780174323 ]
[19  5] :	[ 0.4061232168493956 0.7318571170793459 ]
[20  5] :	[ 0.2258692070469137 0.8019007389474675 ]
[1  6] :	[ 0.0741043855063754 0.2945894768231601 ]
[2  6] :	[ 0.8360113939765689 0.17288381224155372 ]
[3  6] :	[ 0.5920582498593205 0.7925337204185254 ]
[4  6] :	[ 0.03360820700249018 0.6716886506469754 ]
[5  6] :	[ 0.22440894872297362 0.3541396837709175 ]
[6  6] :	[ 0.5809718369070943 0.6928780022168045 ]
[7  6] :	[ 0.2082156495577841 0.8589699359455689 ]
[8  6] :	[ 0.5317170096578295 0.5561261090403783 ]
[9  6] :	[ 0.8621271832878502 0.4109896469627622 ]
[10  6] :	[ 0.8324906385136103 0.9128843961623307 ]
[11  6] :	[ 0.7085200607550416 0.8228058684986451 ]
[12  6] :	[ 0.586619374046963 0.8910973128661095 ]
[13  6] :	[ 0.5623655834664911 0.3937031658575181 ]
[14  6] :	[ 0.5693157258994024 0.3930009560568371 ]
[15  6] :	[ 0.8370317678995135 0.17710170753965088 ]
[16  6] :	[ 0.676799834013509 0.7238755369949952 ]
[17  6] :	[ 0.5714888793898115 0.8372348138497729 ]
[18  6] :	[ 0.5791234414270986 0.16788041757700145 ]
[19  6] :	[ 0.8043802711717843 0.3827295218974499 ]
[20  6] :	[ 0.7862519829587507 0.2468363690738764 ]
[1  7] :	[ 0.9354016792416527 0.3546207457488877 ]
[2  7] :	[ 0.7002548740589293 0.08695092909239653 ]
[3  7] :	[ 0.6930798111869401 0.4547969256173798 ]
[4  7] :	[ 0.011761296869424199 0.7890575887298792 ]
[5  7] :	[ 0.14615166639753369 0.2657946021392452 ]
[6  7] :	[ 0.9622318641382231 0.6955005103243601 ]
[7  7] :	[ 0.9669180871292035 0.43581544082973495 ]
[8  7] :	[ 0.5638566940476751 0.21974201979607524 ]
[9  7] :	[ 0.798904386078082 0.6292343256546159 ]
[10  7] :	[ 0.9172014955214078 0.22439190674025983 ]
[11  7] :	[ 0.19029780677256639 0.6318087152350735 ]
[12  7] :	[ 0.06286540341214726 0.9965576499653014 ]
[13  7] :	[ 0.966881448896458 0.2149332360048055 ]
[14  7] :	[ 0.7184686402289768 0.5413896321191958 ]
[15  7] :	[ 0.33650906041909234 0.7621700339806827 ]
[16  7] :	[ 0.34852837344840204 0.2696642299668701 ]
[17  7] :	[ 0.3264503720834403 0.18787756685815174 ]
[18  7] :	[ 0.7420521615036042 0.11293254672886323 ]
[19  7] :	[ 0.26884959349035903 0.41991202300185543 ]
[20  7] :	[ 0.17961964105944486 0.807084965384476 ]
[1  8] :	[ 0.23920086166527493 0.5049307694929555 ]
[2  8] :	[ 0.8036373843039206 0.34826693248641816 ]
[3  8] :	[ 0.2925041984354417 0.4863016923758593 ]
[4  8] :	[ 0.5427839911174187 0.63477475054116 ]
[5  8] :	[ 0.28305748061533004 0.3117244296004413 ]
[6  8] :	[ 0.27367659603500344 0.8709866504116225 ]
[7  8] :	[ 0.8648869583562385 0.3866789858731554 ]
[8  8] :	[ 0.46293993596158056 0.6578003727416121 ]
[9  8] :	[ 0.9854599746309033 0.8568450520652836 ]
[10  8] :	[ 0.6437673598856141 0.5755063022897766 ]
[11  8] :	[ 0.8358511235172651 0.34584102470908273 ]
[12  8] :	[ 0.517044209881475 0.6749173798531323 ]
[13  8] :	[ 0.7286990845499182 0.6773525100219117 ]
[14  8] :	[ 0.32964207380258753 0.5445641628134492 ]
[15  8] :	[ 0.8395499288828817 0.024488520840574967 ]
[16  8] :	[ 0.45643918720437177 0.5188796727056038 ]
[17  8] :	[ 0.08574044972930756 0.10093970670881883 ]
[18  8] :	[ 0.7904048328076375 0.146657471990156 ]
[19  8] :	[ 0.6843615335189642 0.19133042740011155 ]
[20  8] :	[ 0.6282195504960065 0.27036031832714585 ]
[1  9] :	[ 0.05435222488364019 0.31195338798082956 ]
[2  9] :	[ 0.22890128821118105 0.9175277745778869 ]
[3  9] :	[ 0.8694772185927785 0.3146152693479502 ]
[4  9] :	[ 0.11068473639979717 0.7543430634166164 ]
[5  9] :	[ 0.9380238808759552 0.5061383323902174 ]
[6  9] :	[ 0.4627027400294724 0.030209409168365273 ]
[7  9] :	[ 0.5798673127073202 0.22995671211193683 ]
[8  9] :	[ 0.7525563122820531 0.7706493584891494 ]
[9  9] :	[ 0.8604251749046692 0.9154039101082044 ]
[10  9] :	[ 0.7268036477316238 0.4766924055574791 ]
[11  9] :	[ 0.7859521478809759 0.27049430136300445 ]
[12  9] :	[ 0.5166377866767463 0.780334900707158 ]
[13  9] :	[ 0.16113494551656768 0.7055131514388909 ]
[14  9] :	[ 0.49221235848624423 0.236177133363726 ]
[15  9] :	[ 0.2928762833772421 0.5048968243860867 ]
[16  9] :	[ 0.8410725290816227 0.9867461413827674 ]
[17  9] :	[ 0.1434851078954141 0.03026523916243952 ]
[18  9] :	[ 0.5850114767576223 0.07190487576748646 ]
[19  9] :	[ 0.8770734527761174 0.9806090350295107 ]
[20  9] :	[ 0.9029740055032367 0.027669448417392335 ]
[1  10] :	[ 0.9199780445265525 0.7534020690554715 ]
[2  10] :	[ 0.15295865912639947 0.744416185019499 ]
[3  10] :	[ 0.8421459727281071 0.11254827788661097 ]
[4  10] :	[ 0.9937973625610881 0.745384200614927 ]
[5  10] :	[ 0.34656970028137196 0.5998475574293479 ]
[6  10] :	[ 0.2967690693793191 0.7400541199965335 ]
[7  10] :	[ 0.6431056239139806 0.6260109208071536 ]
[8  10] :	[ 0.4101592579258552 0.707885415615709 ]
[9  10] :	[ 0.2935488581568457 0.7861334930798802 ]
[10  10] :	[ 0.3957323210656283 0.8563337375323846 ]
[11  10] :	[ 0.411757244314819 0.6644603716232359 ]
[12  10] :	[ 0.5520568938346851 0.488224807506195 ]
[13  10] :	[ 0.7117403621465042 0.35905621915894437 ]
[14  10] :	[ 0.4485911137384212 0.20285690081924632 ]
[15  10] :	[ 0.5133392494719625 0.0020062915885988492 ]
[16  10] :	[ 0.13446502965263293 0.8653910404962949 ]
[17  10] :	[ 0.2606953056181626 0.7977186183878369 ]
[18  10] :	[ 0.9676654309287249 0.4752979238562424 ]
[19  10] :	[ 0.49067882730192586 0.4735185402202692 ]
[20  10] :	[ 0.7156217539818904 0.4211134127619536 ]
[1  11] :	[ 0.4825878803269602 0.6178474925205677 ]
[2  11] :	[ 0.22670155766257954 0.5573520098629147 ]
[3  11] :	[ 0.014616422243177565 0.015989697080571092 ]
[4  11] :	[ 0.9351072935240964 0.2497788788313977 ]
[5  11] :	[ 0.7407706267440887 0.028239133560669562 ]
[6  11] :	[ 0.9314799217584568 0.8119587647658899 ]
[7  11] :	[ 0.7022586188177558 0.9969463797987569 ]
[8  11] :	[ 0.168813281938971 0.7157092493501382 ]
[9  11] :	[ 0.4362430330819593 0.8865536364644391 ]
[10  11] :	[ 0.5750381621443006 0.6189650695825538 ]
[11  11] :	[ 0.9043954260630829 0.6758126425144351 ]
[12  11] :	[ 0.5098103908226349 0.48028960034135865 ]
[13  11] :	[ 0.22780163431248604 0.47174646197010767 ]
[14  11] :	[ 0.08062204905491822 0.007664586639301011 ]
[15  11] :	[ 0.8516621127996883 0.999017005745006 ]
[16  11] :	[ 0.2405594519252685 0.25970073750485106 ]
[17  11] :	[ 0.24110525004934502 0.8756417058198438 ]
[18  11] :	[ 0.4874051889277542 0.45879666245614736 ]
[19  11] :	[ 0.7463924661924768 0.06641583856845061 ]
[20  11] :	[ 0.2546993434060226 0.0031821454087091845 ]
[1  12] :	[ 0.5128711476005726 0.9832246187174821 ]
[2  12] :	[ 0.7495258052225052 0.2009656186307044 ]
[3  12] :	[ 0.6768691098837221 0.9675528554719702 ]
[4  12] :	[ 0.06886542261814997 0.4654525867959639 ]
[5  12] :	[ 0.1531642639615394 0.35551753765772615 ]
[6  12] :	[ 0.9557356815656192 0.6086270794766439 ]
[7  12] :	[ 0.4643946944041533 0.8260846668705336 ]
[8  12] :	[ 0.3759560839450508 0.367001678305399 ]
[9  12] :	[ 0.9727520882266412 0.5126377531575271 ]
[10  12] :	[ 0.5046161732742503 0.49858173557884583 ]
[11  12] :	[ 0.8085299216189411 0.25770795931289164 ]
[12  12] :	[ 0.29771916593384745 0.6166364528481675 ]
[13  12] :	[ 0.5410692024275946 0.3816756247914398 ]
[14  12] :	[ 0.04947229179389454 0.440454292565506 ]
[15  12] :	[ 0.3356208384733101 0.586734147588563 ]
[16  12] :	[ 0.7797456557445422 0.2801514443554247 ]
[17  12] :	[ 0.9528142632374184 0.9516731286192169 ]
[18  12] :	[ 0.25316050382548344 0.3879423769789514 ]
[19  12] :	[ 0.4318651061025042 0.483480075777188 ]
[20  12] :	[ 0.7844702086451973 0.2763222083480474 ]
[1  13] :	[ 0.7422171173652893 0.37686473098928913 ]
[2  13] :	[ 0.6586312385633746 0.22738048701548702 ]
[3  13] :	[ 0.9486213647239092 0.9304778611658553 ]
[4  13] :	[ 0.22905261808398603 0.9863623788394001 ]
[5  13] :	[ 0.7298146915196122 0.07879061925814414 ]
[6  13] :	[ 0.22831594510919673 0.07085163380540664 ]
[7  13] :	[ 0.16348330841761993 0.6349906348572062 ]
[8  13] :	[ 0.830555716972918 0.24365559820254226 ]
[9  13] :	[ 0.755162478762216 0.5846581828880825 ]
[10  13] :	[ 0.3543530059701939 0.37600215444637763 ]
[11  13] :	[ 0.6128434808586879 0.3102265363052246 ]
[12  13] :	[ 0.27727280583136127 0.4239813396108354 ]
[13  13] :	[ 0.5538140912618955 0.14120181739110238 ]
[14  13] :	[ 0.3753642726398049 0.22206477283347387 ]
[15  13] :	[ 0.6287279574869238 0.44652403002103547 ]
[16  13] :	[ 0.43330216534617694 0.556849923095298 ]
[17  13] :	[ 0.2600166068393713 0.3800397693048967 ]
[18  13] :	[ 0.9237385257855808 0.33409040393905354 ]
[19  13] :	[ 0.7372794282333146 0.47899750062351515 ]
[20  13] :	[ 0.4581129127865752 0.7061862474560885 ]
[1  14] :	[ 0.27300621598011765 0.5260678765586679 ]
[2  14] :	[ 0.6323180213073467 0.6720190549659935 ]
[3  14] :	[ 0.24485419678290937 0.4979076007986504 ]
[4  14] :	[ 0.05501578242981063 0.04930805759110104 ]
[5  14] :	[ 0.4751681879335826 0.949879597473544 ]
[6  14] :	[ 0.022172143655874523 0.6788627493996175 ]
[7  14] :	[ 0.6501772624716513 0.8893120797107195 ]
[8  14] :	[ 0.25527458529981983 0.3789614784676399 ]
[9  14] :	[ 0.04221739153203525 0.05953924336136434 ]
[10  14] :	[ 0.6041410898064266 0.5175050724422029 ]
[11  14] :	[ 0.7229104581168209 0.5515047811047201 ]
[12  14] :	[ 0.41163387646825345 0.9641756131282555 ]
[13  14] :	[ 0.33744991269932106 0.8258818301385181 ]
[14  14] :	[ 0.4969008392813628 0.8744863404627186 ]
[15  14] :	[ 0.3878348936776971 0.5922162863882583 ]
[16  14] :	[ 0.3405635158045157 0.0 ]
[17  14] :	[ 0.6128040774528443 0.42076274945814934 ]
[18  14] :	[ 0.13285515833967565 0.1610365841516588 ]
[19  14] :	[ 0.7587892173215818 0.6316367494057537 ]
[20  14] :	[ 0.7786650274385032 0.09930487758406153 ]
[1  15] :	[ 0.5261991104192774 0.7949954561246079 ]
[2  15] :	[ 0.8265854955653441 0.21017283378600726 ]
[3  15] :	[ 0.9365736867074953 0.12456485701789459 ]
[4  15] :	[ 0.576636699514741 0.5074828751289849 ]
[5  15] :	[ 0.7001621978869198 0.15495257312273472 ]
[6  15] :	[ 0.2627751939661428 0.772102229504735 ]
[7  15] :	[ 0.4475261344776498 0.33961722970018016 ]
[8  15] :	[ 0.3212340193741094 0.033369472626945215 ]
[9  15] :	[ 0.8092499798665144 0.660782266758875 ]
[10  15] :	[ 0.22756469520127798 0.4165924594398509 ]
[11  15] :	[ 0.42561975823063203 0.8807824547553397 ]
[12  15] :	[ 0.29271847727290196 0.8885807471136132 ]
[13  15] :	[ 0.9432369681727498 0.818089612925241 ]
[14  15] :	[ 0.09405779713935813 0.6695424549250247 ]
[15  15] :	[ 0.8973710264500709 0.9112156898766489 ]
[16  15] :	[ 0.9459595600474298 0.8733017973059134 ]
[17  15] :	[ 0.22524685911426637 0.3746748489122542 ]
[18  15] :	[ 0.9003245455068284 0.4462187354200942 ]
[19  15] :	[ 0.7928549373503239 0.46682969891879716 ]
[20  15] :	[ 0.3325280270450878 0.6560081208548805 ]
[1  16] :	[ 0.9355858208510734 0.7161408104224505 ]
[2  16] :	[ 0.04046616359044499 0.14246947532744567 ]
[3  16] :	[ 0.5459023260748681 0.5021606740292233 ]
[4  16] :	[ 0.15724647316324192 0.06470594001792017 ]
[5  16] :	[ 0.6030351703805894 0.02879407614114207 ]
[6  16] :	[ 0.9063298752343555 0.9441095832885148 ]
[7  16] :	[ 0.38632925498743653 0.5613655014127107 ]
[8  16] :	[ 0.3645731851580067 0.6227850985893488 ]
[9  16] :	[ 0.845412671324477 0.7759069297445893 ]
[10  16] :	[ 0.9754480963331368 0.18776839335543954 ]
[11  16] :	[ 0.6971180924654516 0.22818855909845404 ]
[12  16] :	[ 0.45813025080933534 0.7660027994064678 ]
[13  16] :	[ 0.8991977813186482 0.21259805074171792 ]
[14  16] :	[ 0.2092956030660094 0.8826187934617048 ]
[15  16] :	[ 0.043186927829941414 0.7439682403255582 ]
[16  16] :	[ 0.9691996218091085 0.47293487070822043 ]
[17  16] :	[ 0.11321386357081648 0.013419307878858823 ]
[18  16] :	[ 0.7687988564424095 0.6725097561172102 ]
[19  16] :	[ 0.7499682007970087 0.42858839060653614 ]
[20  16] :	[ 0.7434188873097506 0.24314096739332294 ]
[1  17] :	[ 0.8817570913725544 0.22957610767882938 ]
[2  17] :	[ 0.3513633389395834 0.8820003441716862 ]
[3  17] :	[ 0.11192699236846092 0.8244947345708845 ]
[4  17] :	[ 0.9880063015470958 0.6394763974435771 ]
[5  17] :	[ 0.7383952614995992 0.12942145469861274 ]
[6  17] :	[ 0.7328418872299556 0.42506023693379485 ]
[7  17] :	[ 0.644833837666798 0.6736900743266871 ]
[8  17] :	[ 0.23132867178915503 0.849244898119829 ]
[9  17] :	[ 0.6395955215874206 0.6838326262022693 ]
[10  17] :	[ 0.2679695624721066 0.6979721216105688 ]
[11  17] :	[ 0.936931175929202 0.1561588241145056 ]
[12  17] :	[ 0.6515308984120833 0.9783528009089133 ]
[13  17] :	[ 0.6328987430382966 0.7039142240757469 ]
[14  17] :	[ 0.4455627349354191 0.7571634396829116 ]
[15  17] :	[ 0.012050557722434132 0.010994501673920841 ]
[16  17] :	[ 0.41165131603518706 0.023313970007714565 ]
[17  17] :	[ 0.4244100275321885 0.9221720424833045 ]
[18  17] :	[ 0.7603382190958998 0.3906285731977054 ]
[19  17] :	[ 0.29541415442533386 0.4421745403804063 ]
[20  17] :	[ 0.9708162904411118 0.7451111319237146 ]
[1  18] :	[ 0.5774316313567819 0.5132416903335341 ]
[2  18] :	[ 0.48023162711781825 0.8995723318068949 ]
[3  18] :	[ 0.5323200353879901 0.9552473891995865 ]
[4  18] :	[ 0.5036370069324551 0.8708297523464228 ]
[5  18] :	[ 0.32444352168863716 0.8460737445572524 ]
[6  18] :	[ 0.09909201074990909 0.667886092285283 ]
[7  18] :	[ 0.30572893297541165 0.5185460146240769 ]
[8  18] :	[ 0.8951298177246076 0.3750910879043387 ]
[9  18] :	[ 0.24319051057077223 0.4629018716016505 ]
[10  18] :	[ 0.5225815398103472 0.8747103954707603 ]
[11  18] :	[ 0.9931069613885123 0.697464739376442 ]
[12  18] :	[ 0.9455552009998653 0.7618993706049707 ]
[13  18] :	[ 0.2707505428091304 0.5837119246745017 ]
[14  18] :	[ 0.2885172602852324 0.9011894202692877 ]
[15  18] :	[ 0.2714334866585785 0.6395095638795868 ]
[16  18] :	[ 0.7487099370911656 0.5603063905947417 ]
[17  18] :	[ 0.8055860295815855 0.6247223121536691 ]
[18  18] :	[ 0.3869018309006702 0.28894303278617034 ]
[19  18] :	[ 0.5644978452368975 0.07910674922004339 ]
[20  18] :	[ 0.3939712539572141 0.5113072105839077 ]
[1  19] :	[ 0.8767541814235801 0.5258069571829257 ]
[2  19] :	[ 0.4558889047190353 0.32180934584579546 ]
[3  19] :	[ 0.9997419786131648 0.7421517007232894 ]
[4  19] :	[ 0.42912174964151084 0.1252912689329267 ]
[5  19] :	[ 0.6295203576271708 0.8927898765807087 ]
[6  19] :	[ 0.4257459578289481 0.5558189593175965 ]
[7  19] :	[ 0.7801325349904944 0.7867181793668281 ]
[8  19] :	[ 0.7547008520900368 0.5897343337021991 ]
[9  19] :	[ 0.6042788806167607 0.2230362148153548 ]
[10  19] :	[ 0.9014491517450464 0.8954598530659473 ]
[11  19] :	[ 0.06331035959422258 0.2015625324432974 ]
[12  19] :	[ 0.8800961535988545 0.21327142309986574 ]
[13  19] :	[ 0.5512094291288401 0.7513187481256741 ]
[14  19] :	[ 0.8324961659570024 0.03437814003738604 ]
[15  19] :	[ 0.7148783983934379 0.2814243424540659 ]
[16  19] :	[ 0.7159070528554444 0.8911374723763046 ]
[17  19] :	[ 0.7734769045923108 0.6518204056763294 ]
[18  19] :	[ 0.28253394202986826 0.3578165376562744 ]
[19  19] :	[ 0.539435611333804 0.5787964576562876 ]
[20  19] :	[ 0.3259777655423131 0.26069751790563367 ]
[1  20] :	[ 0.22852881856112217 0.6582430052925299 ]
[2  20] :	[ 0.3375421567890972 0.6105466808157608 ]
[3  20] :	[ 0.8827234788567545 0.9882739977334538 ]
[4  20] :	[ 0.317419107530374 0.5509860638887746 ]
[5  20] :	[ 0.8901427966374222 0.33409613776936853 ]
[6  20] :	[ 0.45380931837767524 0.9495592207939951 ]
[7  20] :	[ 0.677443352571822 0.8457368786993787 ]
[8  20] :	[ 0.7912587293568835 0.28210317228174747 ]
[9  20] :	[ 0.08184579413923566 0.5377183212330879 ]
[10  20] :	[ 0.807919407128484 0.18299586564598244 ]
[11  20] :	[ 0.3314121337394334 0.19468933009464337 ]
[12  20] :	[ 0.03128164465691099 0.3191440848778062 ]
[13  20] :	[ 0.8154070984962561 0.8345517856270632 ]
[14  20] :	[ 0.4355969603551818 0.30019865496268844 ]
[15  20] :	[ 0.04803281543038692 0.6103411238592624 ]
[16  20] :	[ 0.36808997963070195 0.9524134385990325 ]
[17  20] :	[ 0.31246269339084115 0.8898630954987166 ]
[18  20] :	[ 0.2239002967327046 0.5981466852638786 ]
[19  20] :	[ 0.45427061085538206 0.2178503779462584 ]
[20  20] :	[ 0.8633792734958604 0.9775514779992774 ]
